Date,Close,High,Low,Open,Volume,RSI_14,STO_K,STO_D,OBV,ATR_14,SMA_50,SMA_200,MACD,Volatility_Ratio,Regime_Flag,Target_Return,Sentiment,Returns,Vol_Change,Close_z,RSI_14_z,STO_K_z,MACD_z,ATR_14_z,Volatility_Ratio_z,OBV_z,SMA_200_z,Returns_z,Vol_Change_z
2021-09-16,59141.16015625,59204.2890625,58700.5,58881.0390625,24700,84.69509076680697,98.21084387368188,95.2798153293981,88859800,483.3750094360976,54992.506015625,50844.1562890625,1114.6470813682972,0.8173241920838693,0.0,-0.0021181446376608,0.0,0.0071174755984095,1.5729166666666663,1.7009207280790462,1.5008094430662455,1.0181973606202988,1.1374299577901037,-1.5861069231886369,-2.1289938024464847,2.1841333071481066,1.6309519090036813,0.8065577379812309,2.739236807732873
2021-09-17,59015.890625,59737.3203125,58871.73046875,59409.98046875,13100,81.58673980638241,78.95148330920985,91.8085310901597,88846700,510.67606902994777,55115.600234375,50916.62064453125,1109.5668158637636,0.8653196005714736,0.0,-0.0088952472281697,0.0,-0.0021181446376608,-0.4696356275303643,1.508261966056331,0.8811289933904936,-2.0028959966145603,1.0738648749245936,0.0463787314507617,-0.9015358458524312,1.6253468868209402,1.6258231213762404,-1.0101310624546804,-1.1064095402138037
2021-09-20,58490.9296875,59202.55859375,58389.69140625,58634.69140625,17400,69.99370789715297,56.695764524499744,77.95269723579715,88829300,532.2611489206658,55224.32359375,50989.93478515625,1051.0646890056378,0.9099892098901182,0.0,0.0087934974960727,0.0,-0.0088952472281697,0.3282442748091603,1.1057159850407332,-1.20864899182642,-3.758469383497481,0.783681951817032,1.28692268656451,0.2687747237823123,0.9115997189920548,1.6228223154485009,-2.140369957910043,0.4159275203729882
2021-09-21,59005.26953125,59084.51171875,58232.5390625,58630.05859375,9500,73.90595848475917,70.40331903549612,68.68352228973522,88838800,555.0976851584754,55353.05015625,51063.66244140625,1034.2817032021994,0.9407595110882224,0.0,-0.0013209228068811,0.0,0.0087934974960728,-0.454022988505747,1.3498267521457128,-0.5721684899032455,-2.0253509286054574,0.6620334516179559,2.2957499501238035,1.0881909795448594,1.2370279883171746,1.621440911949069,1.1409415305990085,-1.1024339874574334
2021-09-22,58927.328125,59178.44140625,58878.37890625,59166.1484375,19200,72.36619914609292,66.93276774893155,64.67728376964247,88819600,536.8808862185844,55483.872890625,51137.55048828125,1003.1284060974868,0.9110898174098816,0.0,0.0162578430158545,0.0,-0.0013209228068812,1.0210526315789474,1.2282321403272876,-0.9227778795164584,-2.115963995064212,0.4646963473322215,1.2547583913152085,0.3407564155395467,0.3909793148820734,1.6207660132596944,-0.754112450745933,1.6669812835731126
2021-09-23,59885.359375,59957.25,59243.1484375,59358.1796875,44600,78.33975446727011,96.72208230772245,78.01938969738336,88864200,572.0980997029712,55634.12625,51213.700078125,1043.7130347921047,0.9553221449678764,0.0,0.0027236936824343,0.0,0.0162578430158546,1.3229166666666663,1.7324137699904258,0.2007079474639697,0.6960390431933002,0.6205874891573594,2.5779258996309338,1.468615288783365,2.130292292145953,1.62357145930033,2.241809918060901,1.9937590297109615
2021-09-24,60048.46875,60333.0,59946.55078125,60158.76171875,10900,79.16552386261552,88.18646698487304,83.947105680509,88875100,563.2082800813304,55779.701015625,51290.8522265625,1076.6275169911169,0.9379228010395024,0.0,0.0004897736255764,0.0,0.0027236936824344,-0.7556053811659192,1.7249228299296666,0.3165130435799949,-0.0990116802840724,0.75380318208451,1.9583167547294675,1.0251809908430425,2.352012470585574,1.6280704024691488,-0.0883068402928926,-1.5520801754869438
2021-09-27,60077.87890625,60412.3203125,59887.19140625,60303.7890625,6200,79.31862482210856,86.55695594351903,90.4885017453715,88881300,560.4883248076638,55923.177578125,51368.07837890625,1092.4920665972822,0.9329362737361144,0.0,-0.0068290916926382,0.0,0.0004897736255764,-0.4311926605504587,1.6359664190229548,0.3035121879699511,-0.2167707600575685,0.804102129777971,1.6829584105668138,0.8713237663142887,2.3286755593075017,1.63283788979832,-0.4417930825710288,-0.9444122658905084
2021-09-28,59667.6015625,60288.44140625,59045.53125,60285.890625,21100,71.43262400273402,70.06564743824258,81.60302345554487,88860200,609.2327413392593,56053.352578125,51441.0186328125,1059.7428279941669,1.021044461961667,0.0,-0.0042624812224703,0.0,-0.0068290916926382,2.403225806451613,1.2817655782644122,-1.3717432472254292,-1.6468612117601915,0.5520707197756869,2.913955395825519,2.679536842052181,1.4101540160524908,1.631989612566411,-1.5773513864560027,3.0324347227259456
2021-09-29,59413.26953125,59678.66015625,59111.41015625,59296.5390625,16100,66.98654257145508,59.51476028486898,72.04578788887684,88844100,606.2339741007407,56178.816796875,51510.95013671875,1001.7191561912332,1.02036797315434,0.0,-0.0048290585337858,0.0,-0.0042624812224704,-0.2369668246445497,1.0466620266782034,-2.0780657785761774,-2.291502387970468,0.11003867440608,2.4173699403103237,2.3194961219754884,0.7440674598796803,1.6278219197764243,-1.079944329524463,-0.6230439634551905
2021-09-30,59126.359375,59557.23828125,59019.28125,59549.5703125,8900,62.277410198130994,47.88809758614849,59.15616843642001,88835200,601.357049611402,56310.276015625,51578.539375,921.9559916739236,1.0170709916323204,0.0,-0.0061018681652932,0.0,-0.0048290585337857,-0.4472049689440993,0.7969539245526435,-2.548424399958526,-2.7310200041744777,-0.5065902505470495,2.025566563236876,2.010807086939176,0.365638502519811,1.6216559956857286,-1.1029722206288304,-0.8770998101651409
