Date,Action_Target,Price,Position_State,Portfolio_Value
2023-07-10,FLAT,65344.171875,0,101524.3984375
2023-07-11,FLAT,65617.84375,0,101524.3984375
2023-07-12,FLAT,65393.8984375,0,101524.3984375
2023-07-13,FLAT,65558.890625,0,101524.3984375
2023-07-14,FLAT,66060.8984375,0,101524.3984375
2023-07-17,FLAT,66589.9296875,0,101524.3984375
2023-07-18,FLAT,66795.140625,0,101524.3984375
2023-07-19,FLAT,67097.4375,0,101524.3984375
2023-07-20,FLAT,67571.8984375,0,101524.3984375
2023-07-21,FLAT,66684.2578125,0,101524.3984375
2023-07-24,FLAT,66384.78125,0,101524.3984375
2023-07-25,FLAT,66355.7109375,0,101524.3984375
2023-07-26,FLAT,66707.203125,0,101524.3984375
2023-07-27,FLAT,66266.8203125,0,101524.3984375
2023-07-28,FLAT,66160.203125,0,101524.3984375
2023-07-31,FLAT,66527.671875,0,101524.3984375
2023-08-01,FLAT,66459.3125,0,101524.3984375
2023-08-02,FLAT,65782.78125,0,101524.3984375
2023-08-03,FLAT,65240.6796875,0,101524.3984375
2023-08-04,FLAT,65721.25,0,101524.3984375
2023-08-07,FLAT,65953.4765625,0,101524.3984375
2023-08-08,FLAT,65846.5,0,101524.3984375
2023-08-09,FLAT,65995.8125,0,101524.3984375
2023-08-10,FLAT,65688.1796875,0,101524.3984375
2023-08-11,FLAT,65322.6484375,0,101524.3984375
2023-08-14,FLAT,65401.921875,0,101524.3984375
2023-08-16,FLAT,65539.421875,0,101524.3984375
2023-09-29,FLAT,65828.40625,0,101524.3984375
2023-10-03,FLAT,65512.1015625,0,101524.3984375
2023-10-04,FLAT,65226.0390625,0,101524.3984375
2023-10-05,FLAT,65631.5703125,0,101524.3984375
2023-10-06,FLAT,65995.6328125,0,101524.3984375
2023-10-09,FLAT,65512.390625,0,101524.3984375
2023-10-10,FLAT,66079.359375,0,101524.3984375
2023-10-11,FLAT,66473.046875,0,101524.3984375
2023-10-12,FLAT,66408.390625,0,101524.3984375
2023-10-13,FLAT,66282.7421875,0,101524.3984375
2023-10-16,FLAT,66166.9296875,0,101524.3984375
2023-10-17,FLAT,66428.09375,0,101524.3984375
2023-10-18,FLAT,65877.0234375,0,101524.3984375
2023-10-19,FLAT,65629.2421875,0,101524.3984375
2023-10-20,FLAT,65397.62109375,0,101524.3984375
2023-10-23,SHORT,64571.87890625,-1,102047.21875
2023-10-25,FLAT,64049.05859375,0,102042.21875
2023-10-26,SHORT,63148.1484375,-1,101407.56640625
2023-10-27,FLAT,63782.80078125,0,101402.56640625
2023-10-30,FLAT,64112.6484375,0,101402.56640625
2023-10-31,FLAT,63874.9296875,0,101402.56640625
2023-11-01,SHORT,63591.328125,-1,100912.99609375
2023-11-02,FLAT,64080.8984375,0,100907.99609375
2023-11-03,FLAT,64363.78125,0,100907.99609375
2023-11-06,FLAT,64958.69140625,0,100907.99609375
2023-11-07,FLAT,64942.3984375,0,100907.99609375
2023-11-08,FLAT,64975.609375,0,100907.99609375
2023-11-09,FLAT,64832.19921875,0,100907.99609375
2023-11-10,FLAT,64904.6796875,0,100907.99609375
2023-11-13,FLAT,64933.87109375,0,100907.99609375
2023-11-15,FLAT,65675.9296875,0,100907.99609375
